"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 11, 2021","1.7979","1.6776","1.8917","1.6703","810.29M","7.22%"
"Aug 10, 2021","1.6768","1.4754","1.6994","1.4576","558.57M","13.67%"
"Aug 09, 2021","1.4752","1.4262","1.4987","1.3947","322.95M","3.42%"
"Aug 08, 2021","1.4264","1.4735","1.4943","1.4077","337.15M","-3.24%"
"Aug 07, 2021","1.4741","1.4011","1.4846","1.3958","396.61M","5.21%"
"Aug 06, 2021","1.4011","1.3859","1.4243","1.3622","272.05M","1.10%"
"Aug 05, 2021","1.3859","1.3759","1.3972","1.3390","259.90M","0.72%"
"Aug 04, 2021","1.3759","1.3648","1.3930","1.3237","325.17M","0.81%"
"Aug 03, 2021","1.3648","1.3086","1.3822","1.2626","-","4.29%"
"Aug 02, 2021","1.3086","1.3143","1.3485","1.2961","231.98M","-0.58%"
"Aug 01, 2021","1.3163","1.3178","1.3868","1.2996","328.16M","-0.02%"
"Jul 31, 2021","1.3166","1.3104","1.3321","1.2896","222.18M","0.56%"
"Jul 30, 2021","1.3093","1.2837","1.3172","1.2491","280.49M","2.03%"
"Jul 29, 2021","1.2832","1.2859","1.2986","1.2588","95.20M","-0.21%"
"Jul 28, 2021","1.2859","1.2804","1.3169","1.2586","340.48M","0.43%"
"Jul 27, 2021","1.2805","1.2552","1.3151","1.2150","418.43M","2.01%"
"Jul 26, 2021","1.2552","1.2282","1.3974","1.2226","596.83M","2.20%"
"Jul 25, 2021","1.2281","1.2160","1.2361","1.1912","181.71M","1.08%"
"Jul 24, 2021","1.2150","1.2053","1.2237","1.1978","221.74M","0.80%"
"Jul 23, 2021","1.2054","1.1856","1.2067","1.1470","91.89M","1.65%"
"Jul 22, 2021","1.1859","1.1697","1.2051","1.1503","298.36M","1.38%"
"Jul 21, 2021","1.1697","1.0545","1.2211","1.0372","464.72M","10.92%"
"Jul 20, 2021","1.0545","1.1223","1.1341","1.0211","412.27M","-5.95%"
"Jul 19, 2021","1.1212","1.1823","1.1909","1.1167","218.34M","-5.17%"
"Jul 18, 2021","1.1823","1.1713","1.2181","1.1682","185.35M","0.94%"
"Jul 17, 2021","1.1713","1.1716","1.1943","1.1507","219.88M","-0.03%"
"Jul 16, 2021","1.1716","1.2253","1.2435","1.1660","252.66M","-4.36%"
"Jul 15, 2021","1.2250","1.2631","1.2886","1.2060","235.34M","-3.02%"
"Jul 14, 2021","1.2631","1.2650","1.2887","1.1991","263.35M","-0.14%"
"Jul 13, 2021","1.2649","1.3147","1.3207","1.2507","206.08M","-3.79%"
"Jul 12, 2021","1.3147","1.3479","1.3731","1.2922","-","-2.46%"
"Jul 11, 2021","1.3479","1.3353","1.3663","1.3232","128.62M","0.92%"
"Jul 10, 2021","1.3357","1.3496","1.3654","1.3183","158.19M","-1.02%"
"Jul 09, 2021","1.3495","1.3324","1.3721","1.2903","256.51M","1.28%"
"Jul 08, 2021","1.3324","1.4038","1.4060","1.3294","243.36M","-5.09%"
"Jul 07, 2021","1.4038","1.4163","1.4401","1.4002","214.64M","-0.88%"
"Jul 06, 2021","1.4163","1.4040","1.4566","1.3924","231.11M","0.87%"
"Jul 05, 2021","1.4041","1.4613","1.4614","1.3784","295.33M","-3.94%"
"Jul 04, 2021","1.4616","1.4209","1.4943","1.4207","291.73M","2.86%"
"Jul 03, 2021","1.4209","1.3955","1.4407","1.3588","337.75M","1.82%"
"Jul 02, 2021","1.3955","1.3330","1.3956","1.2861","374.91M","4.69%"
"Jul 01, 2021","1.3330","1.3838","1.3840","1.3037","356.70M","-3.67%"
"Jun 30, 2021","1.3838","1.3712","1.3984","1.2865","472.70M","0.92%"
"Jun 29, 2021","1.3712","1.3260","1.4196","1.3195","466.56M","3.51%"
"Jun 28, 2021","1.3247","1.3363","1.3491","1.3044","403.52M","-0.81%"
"Jun 27, 2021","1.3355","1.2517","1.3478","1.2413","429.63M","6.70%"
